,correct,query,date1,task
1,False,from ghosts SELECT name,24/08/21 11:59:37,000
2,True,SELECT name from ghosts,24/08/21 11:59:43,000
3,True,"SELECT north_zone.squaremeter/count(*) FROM (SELECT zone, sum(squaremeter) squaremeter FROM zoo_cage WHERE zone = 'north' GROUP BY zone) north_zone INNER JOIN  zoo_cage c ON (north_zone.zone = c.zone) INNER JOIN zoo_animal a ON (c.id = a.cage_id) GROUP BY c.zone, north_zone.squaremeter;",07/01/22 12:47:49,086
4,False,SELECT p.name FROM GHOSTS g INNER JOIN PLACES p ON p.id = g.place_id,08/01/22 17:00:41,051
5,True,"SELECT p.name FROM GHOSTS g INNER JOIN PLACES p ON p.id = g.place_id WHERE g.name = ""Arthur""",08/01/22 17:01:06,051
6,True,SELECT name from ghosts,30/08/21 11:15:30,000
7,True,SELECT name from ghosts,02/09/21 13:54:08,000
8,True,SELECT name from ghosts,02/09/21 13:58:28,001
9,True,"SELECT name, year from ghosts",02/09/21 13:58:58,002
10,False,"SELECT year FROM GHOSTS name = ""Sieglinde""",02/09/21 13:59:29,003
11,True,"SELECT year FROM GHOSTS WHERE name = ""Sieglinde""",02/09/21 14:00:08,003
12,True,SELECT name FROM ghosts where year > 1800,02/09/21 14:02:44,004
13,False,select name from ghosts where year <= 1765,02/09/21 14:03:13,005
14,False,select name from ghosts where year <= 1777 and year >= 1765,02/09/21 14:03:51,005
15,True,select name from ghosts where year <= 1799 and year >= 1700,02/09/21 14:04:35,005
16,False,select name from ghosts where year < 1820,02/09/21 14:05:02,006
17,False,select * from ghosts where year < 1820,02/09/21 14:05:26,006
18,False,select * from ghosts,02/09/21 14:05:34,006
19,True,select name from ghosts order by name,02/09/21 14:06:01,006
20,True,select name from ghosts order by year desc,02/09/21 14:06:29,007
21,True,SELECT DISTINCT year FROM ghosts,02/09/21 14:07:27,008
22,False,"SELECT g.name, p.name FROM ghosts p, places g WHERE g.place_id == p.id",01/10/21 14:50:16,034
23,True,"SELECT g.name, p.name FROM ghosts g, places p WHERE g.place_id == p.id",01/10/21 14:50:39,034
24,False,"select 'Shadowland', 2 from dual",13/10/21 15:59:40,031
25,False,"select 'Shadowland', 2 from wizards where id = 1",13/10/21 15:59:54,031
26,True,"select area, count(*) from wizards where skill = 5 group by area",13/10/21 16:00:55,031
